date,close-last,volume,open,high,low
02/13/2026,75.97,43506940,72.465,77.0752,71.52
02/12/2026,71.12,57569310,78.87,79,70.43
02/11/2026,77.97,68727550,77.875,79.9,74.25
02/10/2026,85.6,41823770,85.315,88.22,85.21
02/09/2026,86.56,41278080,84.88,88.6,82.83
02/06/2026,82.82,54593880,77.86,84.3,77.12
02/05/2026,72.68,56483080,77.67,79.41,71.87
02/04/2026,80.62,62547860,84.77,85.3,77.62
02/03/2026,87.07,36550000,90.1,90.35,84.93
02/02/2026,89.91,59741800,95.88,95.885,88.67
01/30/2026,99.48,23773100,102.735,104.3,98.37
01/29/2026,101.24,29463830,103.82,103.82,99.2
01/28/2026,103.4,22380160,105.29,107.25,103
01/27/2026,105.24,18339510,107.7,109.049,104.66
01/26/2026,107,11501610,106.26,108.49,104.83
01/23/2026,106.99,17691110,106.9,111.46,106.5
01/22/2026,106.25,14834370,107.48,108.08,105.1
01/21/2026,105.92,20051270,105.725,108.5,104.95
01/20/2026,105.78,23515700,105,108.35,104.4501
01/16/2026,108.74,30258480,111.05,111.25,106.88
01/15/2026,110.35,33323920,119.61,119.8799,110.13
01/14/2026,119.67,17838680,120.29,120.88,116.61
01/13/2026,120.24,20026090,117.4,120.43,116
01/12/2026,117.52,17111700,114.51,119.62,114.455
01/09/2026,115.27,18094810,116.975,118.23,114.882
01/08/2026,115.39,20102350,115.75,117.32,113.87
01/07/2026,116.97,18916840,120.05,120.1,116.5501
01/06/2026,121.7,20349850,124.16,124.35,118.0498
01/05/2026,123.24,26231020,117.92,123.4199,117.55
01/02/2026,115.21,25793460,115.478,116.03,110.41
12/31/2025,113.1,15992240,114.84,115.65,112.85
12/30/2025,115.45,16471550,117.625,118.6363,115.18
12/29/2025,117.43,15386390,116.89,118.95,116.02
12/26/2025,118.13,12959110,120.71,121.03,117.7
12/24/2025,120.44,7980732,119.96,120.67,118.6
12/23/2025,120.24,16953510,120.295,121.15,116.75
12/22/2025,122.37,16976960,123.51,124.55,121.07
12/19/2025,121.35,27580850,119.47,122.96,118.2
12/18/2025,117.16,24274260,121.87,124.25,117.05
12/17/2025,115.8,36269950,120.97,124.7,115.59
12/16/2025,119.4,21011890,116.695,120.7,115.76
12/15/2025,115.26,28421950,120.4,120.66,114.1005
12/12/2025,119.5,31553300,125.34,125.65,117.835
12/11/2025,123.38,44624830,131.775,131.775,122.53
12/10/2025,135.66,18232080,135.26,137.46,133.43
12/09/2025,135.71,18948210,134.5,139.75,133.57
12/08/2025,136.43,22593100,134.1,138.09,132.0017
12/05/2025,131.95,23122970,135.06,135.24,129.96
